               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.025277,            0.066253,            0.013816,             0.63945,             0.59117,             0.50081,              0.3781,            0.021951,            0.065706,            0.013064,            0.005149,            0.005149,            0.005149
                  51,            0.024803,            0.066726,            0.013064,             0.62791,             0.62045,             0.51642,             0.35624,            0.024417,             0.06823,            0.013346,             0.00505,             0.00505,             0.00505
                  52,            0.024866,            0.065065,             0.01375,             0.63816,             0.62727,             0.51907,             0.37207,            0.023347,            0.067805,            0.012612,            0.004951,            0.004951,            0.004951
                  53,            0.024967,            0.066562,            0.012311,             0.54972,             0.65058,             0.50406,             0.36647,            0.022425,            0.064823,            0.013277,            0.004852,            0.004852,            0.004852
                  54,            0.024101,            0.068096,            0.013211,             0.58752,             0.69096,             0.52124,             0.39132,            0.022929,            0.065564,            0.012962,            0.004753,            0.004753,            0.004753
                  55,             0.02394,            0.063039,            0.012649,             0.55877,             0.66864,             0.50803,             0.38077,            0.023077,            0.065961,            0.012946,            0.004654,            0.004654,            0.004654
                  56,            0.024763,            0.064713,            0.012461,               0.636,             0.64622,             0.52413,             0.39092,            0.022442,            0.065018,            0.014014,            0.004555,            0.004555,            0.004555
                  57,            0.024052,            0.066572,            0.012389,             0.55167,             0.67779,             0.51516,             0.38569,             0.02261,            0.065024,            0.012689,            0.004456,            0.004456,            0.004456
                  58,            0.023287,            0.066014,             0.01157,              0.6356,              0.6617,             0.52304,             0.38564,            0.022887,            0.064969,            0.012909,            0.004357,            0.004357,            0.004357
                  59,            0.023846,            0.063144,            0.011695,             0.64611,              0.5938,             0.52035,             0.38886,            0.022937,            0.065258,            0.012497,            0.004258,            0.004258,            0.004258
                  60,            0.023699,            0.065158,            0.011576,             0.50081,             0.65026,             0.50669,             0.37311,            0.023203,            0.065486,            0.012816,            0.004159,            0.004159,            0.004159
                  61,            0.023785,            0.064968,            0.011243,             0.54635,             0.66937,             0.50669,             0.38139,             0.02163,            0.064972,            0.012977,             0.00406,             0.00406,             0.00406
                  62,            0.022434,             0.06402,            0.011413,             0.54008,             0.62613,             0.50893,             0.38157,             0.02187,            0.067412,            0.012555,            0.003961,            0.003961,            0.003961
                  63,            0.023525,            0.065327,            0.011028,             0.58114,             0.66863,             0.51169,             0.38392,            0.021832,            0.068502,            0.012755,            0.003862,            0.003862,            0.003862
                  64,            0.022896,            0.063987,            0.011426,              0.5277,             0.64204,             0.49948,             0.37599,             0.02189,             0.06675,            0.013546,            0.003763,            0.003763,            0.003763
                  65,            0.022507,            0.063192,            0.011404,             0.55193,              0.6602,              0.5028,             0.38549,             0.02154,            0.066547,             0.01379,            0.003664,            0.003664,            0.003664
                  66,            0.022246,            0.058929,            0.011083,             0.54443,             0.67728,              0.5072,             0.37926,            0.022385,             0.06557,             0.01385,            0.003565,            0.003565,            0.003565
                  67,            0.022534,            0.061048,            0.010258,              0.5657,             0.69842,             0.51456,             0.39197,            0.021708,            0.065422,            0.013042,            0.003466,            0.003466,            0.003466
                  68,            0.022484,             0.05998,            0.010266,             0.54835,             0.68616,             0.51003,             0.38795,            0.022164,            0.066353,              0.0128,            0.003367,            0.003367,            0.003367
                  69,            0.021666,             0.06131,            0.010691,             0.56574,             0.70463,             0.52047,             0.39547,            0.021558,            0.066586,            0.012708,            0.003268,            0.003268,            0.003268
                  70,            0.021725,            0.065702,            0.010408,             0.56801,             0.70506,             0.51425,              0.3942,            0.021918,            0.068525,            0.012396,            0.003169,            0.003169,            0.003169
                  71,            0.021877,            0.061706,           0.0099576,              0.5713,             0.70155,             0.51739,             0.38759,            0.021673,            0.067893,            0.012144,             0.00307,             0.00307,             0.00307
                  72,            0.021702,            0.060326,            0.010061,             0.57853,             0.70472,             0.50995,             0.38669,            0.021891,            0.069473,            0.012546,            0.002971,            0.002971,            0.002971
                  73,             0.02117,            0.062326,            0.010252,             0.56276,             0.68669,               0.506,             0.38402,            0.021353,            0.067259,             0.01283,            0.002872,            0.002872,            0.002872
                  74,            0.021077,            0.060768,           0.0099203,             0.58649,             0.70386,             0.51177,             0.39126,            0.021277,            0.067281,            0.012393,            0.002773,            0.002773,            0.002773
                  75,            0.020773,            0.060707,           0.0094256,             0.58219,             0.69942,             0.51373,             0.39118,            0.021215,             0.06687,            0.012528,            0.002674,            0.002674,            0.002674
                  76,             0.02077,            0.061041,           0.0097762,             0.58062,             0.68807,             0.51344,             0.39286,            0.020697,            0.065687,            0.012488,            0.002575,            0.002575,            0.002575
                  77,            0.020617,            0.058857,           0.0095998,             0.56825,             0.67251,             0.51677,             0.39542,            0.021273,            0.065736,            0.012849,            0.002476,            0.002476,            0.002476
                  78,            0.020826,            0.058882,           0.0095936,             0.57032,             0.67167,             0.50992,             0.38736,            0.021247,            0.066833,            0.013209,            0.002377,            0.002377,            0.002377
                  79,            0.020888,            0.061029,           0.0095705,             0.56976,             0.68959,              0.5259,             0.39936,            0.020978,            0.065589,            0.013342,            0.002278,            0.002278,            0.002278
                  80,            0.020087,            0.059197,           0.0098211,             0.57188,             0.68536,             0.52958,             0.40445,            0.021372,            0.065996,            0.013081,            0.002179,            0.002179,            0.002179
                  81,            0.020193,             0.06216,           0.0091641,             0.56953,             0.69129,              0.5293,             0.41069,             0.02104,            0.066767,            0.013484,             0.00208,             0.00208,             0.00208
